Animal;Session;Behaviour_1;Offered_1;Behaviour_2;Offered_2
Charlie;8;fluff;fluff;wings;wings
Charlie;8;repeat;wings;repeat;wings
Charlie;8;leg;leg;leg;leg
Charlie;8;spin;spin;repeat;spin
Charlie;8;fluff;fluff;wings;wings
Charlie;8;leg;leg;repeat;fluff
Charlie;8;repeat;wings;spin;spin
Charlie;8;wings;wings;repeat;wings
Charlie;8;spin;spin;repeat;spin
Charlie;8;repeat;wings;spin;spin
Charlie;8;fluff;fluff;repeat;fluff
Charlie;8;fluff;fluff;leg;leg
Charlie;8;repeat;fluff+leg;repeat;leg
Charlie;8;leg;leg;spin;spin
Charlie;8;wings;wings;repeat;wings
Charlie;8;repeat;wings;spin;spin
Charlie;8;repeat;spin;repeat;spin
Charlie;8;leg;leg;wings;wings
Charlie;8;spin;spin;fluff;fluff
Charlie;8;repeat;fluff;repeat;wings
Charlie;8;spin;spin;wings;wings
Charlie;8;fluff;wings;wings;wings
Gargamel;2;leg;leg;fluff;fluff
Gargamel;2;spin;spin;repeat;spin
Gargamel;2;fluff;fluff;repeat;wings
Gargamel;2;repeat;wings;wings;wings
Gargamel;2;spin;spin;repeat;spin
Gargamel;2;repeat;spin;leg;leg
Gargamel;2;spin;spin;leg;leg
Gargamel;2;repeat;leg;wings;wings
Gargamel;2;repeat;fluff;repeat;wings
Gargamel;2;spin;spin;fluff;fluff
Gargamel;2;repeat;leg;wings;wings
Gargamel;2;leg;leg;fluff;fluff
Gargamel;2;fluff;fluff;repeat;fluff
Gargamel;2;repeat;fluff;spin;spin
Gargamel;2;leg;leg;repeat;leg
Gargamel;2;repeat;leg;wings;wings
Gargamel;2;wings;wings;repeat;leg
Gargamel;2;repeat;fluff;leg;leg
Gargamel;2;spin;spin;leg;leg
Gargamel;2;repeat;leg;repeat;leg
Gargamel;2;wings;wings;leg;leg
Gargamel;2;wings;wings;repeat;leg
Gargamel;2;wings;wings;spin;spin
Gargamel;2;repeat;fluff;repeat;spin
Gargamel;2;fluff;fluff;fluff;fluff
Gargamel;2;spin;spin;fluff;fluff
Gargamel;3;spin;spin;leg;leg
Gargamel;3;spin;spin;leg;leg
Gargamel;3;repeat;leg;repeat;wings
Gargamel;3;wings;wings;fluff;fluff
Gargamel;3;leg;leg;spin;spin
Gargamel;3;repeat;wings;fluff;wings
Gargamel;3;repeat;wings;repeat;wings
Gargamel;3;spin;spin;repeat;spin
Gargamel;3;repeat;spin;wings;wings
Gargamel;3;wings;wings;repeat;wings
Gargamel;3;fluff;wings;spin;spin
Gargamel;3;wings;wings;fluff;fluff
Gargamel;3;repeat;fluff;repeat;fluff
Gargamel;3;wings;wings;leg;leg
Gargamel;3;repeat;leg;repeat;leg
Gargamel;3;fluff;fluff;leg;leg
Gargamel;3;leg;leg;repeat;leg
Gargamel;3;spin;spin;fluff;fluff
Gargamel;3;wings;wings;repeat;wings
Gargamel;3;repeat;wings;spin;spin
Gargamel;3;repeat;fluff;repeat;wings
Gargamel;3;leg;leg;fluff;fluff
Gargamel;3;fluff;fluff;repeat;fluff
Gargamel;3;wings;wings;repeat;fluff
Gargamel;3;repeat;wings;leg;leg
Gargamel;3;wings;wings;spin;spin
Gargamel;4;spin;spin;leg;leg
Gargamel;4;fluff;fluff;repeat;leg
Gargamel;4;repeat;wings;leg;leg
Gargamel;4;wings;wings;repeat;wings
Gargamel;4;leg;fluff;spin;spin
Gargamel;4;repeat;spin;repeat;spin
Gargamel;4;fluff;fluff;wings;wings
Gargamel;4;spin;spin;leg;leg
Gargamel;4;repeat;leg;fluff;fluff
Gargamel;4;spin;spin;repeat;spin
Gargamel;4;repeat;spin;fluff;fluff
Gargamel;4;spin;spin;wings;wings
Gargamel;4;repeat;fluff;repeat;spin
Gargamel;4;spin;spin;wings;wings
Gargamel;4;fluff;fluff;repeat;fluff
Gargamel;4;wings;wings;leg;leg
Gargamel;4;repeat;leg;repeat;leg
Gargamel;4;wings;fluff;fluff;fluff
Gargamel;4;repeat;fluff;repeat;fluff
Gargamel;4;wings;fluff;spin;spin
Gargamel;4;repeat;spin;wings;wings
Gargamel;4;repeat;wings;repeat;wings
Gargamel;4;leg;leg;fluff;fluff
Gargamel;4;leg;leg;repeat;leg
Gargamel;4;repeat;leg;spin;spin
Gargamel;4;fluff;fluff;leg;leg
Gargamel;5;wings;wings;leg;leg
Gargamel;5;leg;leg;repeat;leg
Gargamel;5;fluff;fluff;repeat;fluff
Gargamel;5;repeat;wings;wings;wings
Gargamel;5;leg;leg;spin;spin
Gargamel;5;fluff;fluff;wings;wings
Gargamel;5;repeat;spin;repeat;fluff
Gargamel;5;leg;leg;fluff;fluff
Gargamel;5;wings;wings;spin;spin
Gargamel;5;repeat;fluff;repeat;fluff
Gargamel;5;wings;wings;wings;wings
Gargamel;5;repeat;wings;spin;spin
Gargamel;5;fluff;fluff;repeat;fluff
Gargamel;5;repeat;fluff;leg;leg
Gargamel;5;spin;spin;repeat;fluff
Gargamel;5;leg;leg;repeat;fluff
Gargamel;5;repeat;fluff;fluff;fluff
Gargamel;5;leg;leg;repeat;fluff
Gargamel;5;repeat;fluff;wings;wings
Gargamel;5;spin;wings;fluff;fluff
Gargamel;5;repeat;wings;spin;spin
Gargamel;5;fluff;fluff;fluff;fluff
Gargamel;5;spin;spin;repeat;spin
Gargamel;5;repeat;spin;leg;leg
Gargamel;5;wings;wings;repeat;wings
Gargamel;5;repeat;wings;spin;spin
Gargamel;6;spin;spin;fluff;fluff
Gargamel;6;wings;wings;leg;leg
Gargamel;6;leg;leg;repeat;leg
Gargamel;6;fluff;fluff;wings;wings
Gargamel;6;wings;wings;repeat;fluff
Gargamel;6;repeat;fluff;spin;spin
Gargamel;6;repeat;wings;spin;spin
Gargamel;6;leg;leg;repeat;leg
Gargamel;6;repeat;leg;spin;spin
Gargamel;6;spin;spin;repeat;spin
Gargamel;6;repeat;leg;fluff;fluff
Gargamel;6;fluff;fluff;repeat;fluff
Gargamel;6;leg;leg;repeat;leg
Gargamel;6;repeat;leg;fluff;fluff
Gargamel;6;spin;spin;leg;leg
Gargamel;6;wings;wings;repeat;leg
Gargamel;6;repeat;wings;fluff;fluff
Gargamel;6;repeat;fluff;repeat;fluff
Gargamel;6;leg;leg;leg;leg
Gargamel;6;fluff;fluff;repeat;leg
Gargamel;6;repeat;spin;leg;leg
Gargamel;6;spin;spin;repeat;spin
Gargamel;6;repeat;spin;wings;wings
Gargamel;6;wings;wings;spin;spin
Gargamel;6;wings;wings;repeat;wings
Gargamel;6;fluff;fluff;wings;wings
Gargamel;7;fluff;fluff;wings;wings
Gargamel;7;fluff;fluff;repeat;fluff
Gargamel;7;repeat;fluff;spin;spin
Gargamel;7;wings;wings;repeat;spin
Gargamel;7;repeat;spin;leg;leg
Gargamel;7;fluff;fluff;fluff;fluff
Gargamel;7;repeat;fluff;wings;wings
Gargamel;7;repeat;spin;leg;leg
Gargamel;7;wings;wings;repeat;wings
Gargamel;7;repeat;wings;spin;spin
Gargamel;7;fluff;fluff;wings;wings
Gargamel;7;leg;leg;repeat;leg
Gargamel;7;repeat;fluff;spin;spin
Gargamel;7;repeat;spin;spin;spin
Gargamel;7;wings;wings;spin;spin
Gargamel;7;repeat;wings;repeat;wings
Gargamel;7;leg;leg;leg;leg
Gargamel;7;repeat;wings;wings;wings
Gargamel;7;fluff;fluff;leg;leg
Gargamel;7;fluff;fluff;repeat;leg
Gargamel;7;repeat;leg;spin;spin
Gargamel;7;leg;leg;repeat;leg
Gargamel;7;repeat;leg;wings;wings
Gargamel;7;spin;spin;repeat;spin
Gargamel;7;repeat;fluff;leg;leg
Gargamel;7;fluff;fluff;spin;spin
Gargamel;8;fluff;fluff;leg;leg
Gargamel;8;repeat;leg;leg;leg
Gargamel;8;fluff;fluff;repeat;fluff
Gargamel;8;repeat;fluff;wings;wings
Gargamel;8;fluff;fluff;wings;wings
Gargamel;8;repeat;fluff;repeat;fluff
Gargamel;8;leg;leg;leg;leg
Gargamel;8;spin;spin;repeat;spin
Gargamel;8;fluff;fluff;wings;wings
Gargamel;8;leg;leg;repeat;leg
Gargamel;8;repeat;leg;spin;spin
Gargamel;8;wings;wings;repeat;wings
Gargamel;8;spin;spin;repeat;spin
Gargamel;8;repeat;spin;spin;spin
Gargamel;8;fluff;fluff;repeat;fluff
Gargamel;8;fluff;fluff;leg;leg
Gargamel;8;repeat;leg;repeat;leg
Gargamel;8;leg;leg;spin;spin
Gargamel;8;wings;wings;repeat;wings
Gargamel;8;repeat;wings;spin;spin
Gargamel;8;repeat;wings;repeat;wings
Gargamel;8;leg;leg;wings;wings
Gargamel;8;spin;spin;fluff;fluff
Gargamel;8;repeat;wings;repeat;wings
Gargamel;8;spin;spin;wings;wings
Gargamel;8;fluff;fluff;wings;wings
